owner_name	date	shares_held	change_in_shares	change_%	value_X1000
ARK INVESTMENT MANAGEMENT LLC	06/30/2021	30,681,798	12,049,327	64.668%	$669,477
VANGUARD GROUP INC	03/31/2021	25,302,593	4,757,159	23.154%	$552,103
FOUNDERS FUND ILL MANAGEMENT, LLC	03/31/2021	22,120,875	22,120,875	New	$482,677
FOUNDERS FUND II MANAGEMENT, LLC	03/31/2021	21,302,448	21,261,171	51508.518%	$464,819
P-STS SPV GP IA, LLC	12/31/2020	18,378,282	18,378,282	New	$401,014
SUSQUEHANNA INTERNATIONAL GROUP, LLP	03/31/2021	15,507,376	11,563,550	293.206%	$338,371
CITADEL ADVISORS LLC	03/31/2021	12,737,103	11,379,514	838.215%	$277,924
MORGAN STANLEY	03/31/2021	12,413,077	6,632,400	114.734%	$270,853
SUMITOMO MITSUI TRUST HOLDINGS, INC.	06/30/2021	11,194,018	5,610,074	100.468%	$244,253
CANADA PENSION PLAN INVESTMENT BOARD	03/31/2021	9,379,007	-8,977,600	-48.907%	$204,650
BLACKROCK INC.	03/31/2021	9,378,527	-23,972,016	-71.879%	$204,639
BLUE RIDGE CAPITAL, L.L.C.	12/31/2020	9,135,401	9,135,401	New	$199,334
PRIMAVERA CAPITAL MANAGEMENT LTD	03/31/2021	8,787,385	8,774,747	69431.453%	$191,741
DUQUESNE FAMILY OFFICE LLC	03/31/2021	5,983,992	5,983,992	New	$130,571
NIKKO ASSET MANAGEMENT AMERICAS, INC.	03/31/2021	5,640,148	5,640,148	New	$123,068
HRT FINANCIAL LP	03/31/2021	5,595,517	5,595,517	New	$122,094
JANE STREET GROUP, LLC	03/31/2021	5,024,451	4,495,949	850.697%	$109,634
ROVIDA ADVISORS INC.	03/31/2021	4,575,282	4,575,282	New	$99,833
ALLIANZ ASSET MANAGEMENT GMBH	03/31/2021	4,520,575	-4,432,025	-49.505%	$98,639
EATON VANCE MANAGEMENT	03/31/2021	4,403,034	2,335,029	112.912%	$96,074
P-STS SPV GP I, LLC	12/31/2020	4,352,523	4,352,523	New	$94,972
ARROWSTREET CAPITAL, LIMITED PARTNERSHIP	03/31/2021	3,503,569	1,833,319	109.763%	$76,448
CREDIT SUISSE AG/	03/31/2021	3,468,478	-2,872,728	-45.303%	$75,682
GEODE CAPITAL MANAGEMENT, LLC	03/31/2021	3,433,049	740,235	27.489%	$74,909
MISSION CREEK CAPITAL PARTNERS, INC.	03/31/2021	3,402,192	3,402,192	New	$74,236
JPMORGAN CHASE & CO	03/31/2021	2,949,386	-16,960,917	-85.187%	$64,356
CYPRESS POINT WEALTH MANAGEMENT, LLC	06/30/2021	2,599,833	116,020	4.671%	$56,728
SIMPLEX TRADING, LLC	03/31/2021	2,368,469	2,359,469	26216.322%	$51,680
GLYNN CAPITAL MANAGEMENT LLC	06/30/2021	2,350,783	-35,000	-1.467%	$51,294
SWISS NATIONAL BANK	06/30/2021	2,143,300	2,143,300	New	$46,767
MILLENNIUM MANAGEMENT LLC	03/31/2021	2,126,394	2,004,171	1639.766%	$46,398
ALLEN OPERATIONS LLC	03/31/2021	2,096,255	-4,377,570	-67.62%	$45,740
LA FINANCIERE DE L'ECHIQUIER	06/30/2021	2,040,108	-4,892	-0.239%	$44,515
GOLDMAN SACHS GROUP INC	03/31/2021	2,034,676	-1,122,339	-35.551%	$44,397
ROYAL BANK OF CANADA	03/31/2021	1,996,776	1,258,210	170.359%	$43,570
NATIXIS	03/31/2021	1,907,971	1,907,971	New	$41,632
GROUP ONE TRADING, L.P.	03/31/2021	1,785,188	1,785,188	New	$38,953
NEW YORK STATE COMMON RETIREMENT FUND	06/30/2021	1,558,972	1,558,972	New	$34,017
WOLVERINE TRADING, LLC	03/31/2021	1,519,451	1,426,390	1532.747%	$33,154
RHUMBLINE ADVISERS	06/30/2021	1,494,915	1,484,143	13777.785%	$32,619
PARALLAX VOLATILITY ADVISERS, L.P.	03/31/2021	1,329,778	1,317,005	10310.851%	$29,016
UBS GROUP AG	03/31/2021	1,177,040	-914,628	-43.727%	$25,683
ALLIANCEBERNSTEIN L.P.	06/30/2021	1,136,411	830,543	271.536%	$24,796
WALLEYE TRADING LLC	03/31/2021	1,128,952	1,123,365	20106.766%	$24,634
CATALYST PRIVATE WEALTH, LLC	06/30/2021	1,123,717	-20,128	-1.76%	$24,520
WELLS FARGO & COMPANY/MN	03/31/2021	1,089,747	504,510	86.206%	$23,778
CHARLES SCHWAB INVESTMENT MANAGEMENT INC	03/31/2021	1,051,331	174,125	19.85%	$22,940
SCHRODER INVESTMENT MANAGEMENT GROUP	03/31/2021	969,415	938,332	3018.795%	$21,153
JS CAPITAL MANAGEMENT LLC	03/31/2021	934,404	934,404	New	$20,389
FIRST TRUST ADVISORS LP	03/31/2021	930,654	-112,747	-10.806%	$20,307
NORTHERN TRUST CORP	03/31/2021	924,597	244,467	35.944%	$20,175
DISRUPTIVE TECHNOLOGY ADVISERS LLC	03/31/2021	863,284	-40,147,947	-97.895%	$18,837
CITIGROUP INC	03/31/2021	861,240	765,427	798.876%	$18,792
ALLEN HOLDING INC /NY	03/31/2021	807,920	307,920	61.584%	$17,629
ADVISOR GROUP HOLDINGS, INC.	06/30/2021	778,609	157,130	25.283%	$16,989
VGI PARTNERS LTD	03/31/2021	754,902	-1,860,005	-71.131%	$16,472
KLINGENSTEIN FIELDS & CO LP	06/30/2021	677,164	677,164	New	$14,776
LPL FINANCIAL LLC	03/31/2021	675,175	314,964	87.439%	$14,732
LMR PARTNERS LLP	03/31/2021	657,685	657,685	New	$14,351
COMMONWEALTH EQUITY SERVICES, LLC	03/31/2021	650,816	272,999	72.257%	$14,201
D. E. SHAW & CO., INC.	03/31/2021	646,416	646,416	New	$14,105
RAYMOND JAMES & ASSOCIATES	03/31/2021	643,964	289,170	81.504%	$14,051
HIGHTOWER ADVISORS, LLC	06/30/2021	609,441	146,375	31.61%	$13,298
BANK OF AMERICA CORP /DE/	03/31/2021	593,962	-1,297,794	-68.603%	$12,960
CRESTWOOD CAPITAL MANAGEMENT, L.P.	03/31/2021	583,197	233,597	66.818%	$12,725
ALTRAVUE CAPITAL, LLC	06/30/2021	580,400	0	0%	$12,664
SUMMIT TRAIL ADVISORS, LLC	03/31/2021	569,180	521,797	1101.233%	$12,420
DESTINATION WEALTH MANAGEMENT	03/31/2021	558,082	496,044	799.581%	$12,177
RAYMOND JAMES FINANCIAL SERVICES ADVISORS, INC.	03/31/2021	556,748	126,366	29.361%	$12,148
PARALLEL ADVISORS, LLC	06/30/2021	556,259	14,181	2.616%	$12,138
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM	03/31/2021	547,154	-718,652	-56.774%	$11,939
PACIFIC HEIGHTS ASSET MANAGEMENT LLC	06/30/2021	520,000	0	0%	$11,346
NOMURA HOLDINGS INC	03/31/2021	514,697	225,120	77.741%	$11,231
STATE OF MICHIGAN RETIREMENT SYSTEM	06/30/2021	513,000	20,000	4.057%	$11,194
PEAK6 INVESTMENTS LLC	03/31/2021	484,524	60,041	14.145%	$10,572
AMERIPRISE FINANCIAL INC	03/31/2021	446,740	196,097	78.238%	$9,748
ARCHON PARTNERS LLC	03/31/2021	440,000	-75,617	-14.665%	$9,601
STIFEL FINANCIAL CORP	03/31/2021	431,783	167,932	63.647%	$9,422
HEDEKER WEALTH, LLC	06/30/2021	418,242	418,242	New	$9,126
CAPWEALTH ADVISORS, LLC	03/31/2021	411,601	8,774	2.178%	$8,981
CWA ASSET MANAGEMENT GROUP, LLC	06/30/2021	400,200	-5,150	-1.271%	$8,732
COASTAL BRIDGE ADVISORS, LLC	03/31/2021	400,000	400,000	New	$8,728
VERDE SERVICOS INTERNACIONAIS S.A.	03/31/2021	400,000	400,000	New	$8,728
THORNTREE CAPITAL PARTNERS LP	03/31/2021	398,481	398,481	New	$8,695
ANDAR CAPITAL MANAGEMENT HK LTD	03/31/2021	375,000	-313,000	-45.494%	$8,183
STATE STREET CORP	03/31/2021	371,883	144,783	63.753%	$8,114
TRYBE CAPITAL MANAGEMENT LP	03/31/2021	353,675	353,675	New	$7,717
BANK OF NEW YORK MELLON CORP	03/31/2021	351,801	63,538	22.042%	$7,676
SARGENT INVESTMENT GROUP, LLC	06/30/2021	330,003	47,310	16.735%	$7,201
O'NEIL GLOBAL ADVISORS, INC.	06/30/2021	324,360	324,360	New	$7,078
OPPENHEIMER & CO INC	06/30/2021	320,316	64,349	25.14%	$6,989
STATE OF NEW JERSEY COMMON PENSION FUND D	06/30/2021	319,689	319,689	New	$6,976
BLUEFIN CAPITAL MANAGEMENT, LLC	03/31/2021	310,247	276,715	825.227%	$6,770
QUBE RESEARCH & TECHNOLOGIES LTD	03/31/2021	305,077	101,353	49.75%	$6,657
O'SHARES INVESTMENT ADVISERS, LLC	06/30/2021	288,376	-3,894	-1.332%	$6,292
UNITED CAPITAL MANAGEMENT OF KS, INC.	06/30/2021	287,669	22,185	8.356%	$6,277
SENTINEL TRUST CO LBA	06/30/2021	280,130	-119,870	-29.968%	$6,112
PRIVATE ADVISOR GROUP, LLC	03/31/2021	277,163	254,567	1126.602%	$6,048
USCA RIA LLC	06/30/2021	265,891	25,890	10.787%	$5,802
FOSTER GROUP, INC.	03/31/2021	265,100	204,494	337.415%	$5,784
1776 WEALTH LLC	06/30/2021	263,201	1,200	0.458%	$5,743
DEUTSCHE BANK AG\	03/31/2021	261,717	244,753	1442.779%	$5,711
AE WEALTH MANAGEMENT LLC	06/30/2021	256,399	30,775	13.64%	$5,595
BANK JULIUS BAER & CO. LTD, ZURICH	06/30/2021	249,697	15,512	6.624%	$5,448
CUTLER GROUP LP	06/30/2021	247,844	-142,622	-36.526%	$5,408
CTC LLC	06/30/2021	247,094	-513,603	-67.517%	$5,392
CRESSET ASSET MANAGEMENT, LLC	03/31/2021	245,248	48,944	24.933%	$5,351
ASSET MANAGEMENT ONE CO., LTD.	06/30/2021	229,230	229,230	New	$5,002
EXODUSPOINT CAPITAL MANAGEMENT, LP	03/31/2021	218,218	114,607	110.613%	$4,762
ALLEN INVESTMENT MANAGEMENT LLC	03/31/2021	216,257	216,257	New	$4,719
VAN CLEEF ASSET MANAGEMENT,INC	03/31/2021	214,046	205,521	2410.804%	$4,670
CASTELLAN GROUP, LLC	03/31/2021	208,000	208,000	New	$4,539
HAP TRADING, LLC	03/31/2021	205,658	205,658	New	$4,487
BEAUMONT FINANCIAL PARTNERS, LLC	06/30/2021	202,164	560	0.278%	$4,411
BBR PARTNERS, LLC	03/31/2021	201,188	41,188	25.743%	$4,390
R.P. BOGGS & CO.	06/30/2021	200,214	11,286	5.974%	$4,369
DISCOVERY CAPITAL MANAGEMENT, LLC / CT	03/31/2021	200,000	-4,372,248	-95.626%	$4,364
D L CARLSON INVESTMENT GROUP INC	03/31/2021	198,817	198,817	New	$4,338
HSBC HOLDINGS PLC	03/31/2021	198,727	-82,002	-29.21%	$4,336
KESTRA ADVISORY SERVICES, LLC	06/30/2021	193,875	524	0.271%	$4,230
VICTORY CAPITAL MANAGEMENT INC	06/30/2021	189,272	71,690	60.97%	$4,130
BROWN ADVISORY INC	06/30/2021	183,771	156,151	565.355%	$4,010
QUADRATURE CAPITAL LTD	03/31/2021	182,158	15,758	9.47%	$3,975
CREATIVE PLANNING	06/30/2021	175,822	-139,764	-44.287%	$3,836
CAPROCK GROUP, INC.	03/31/2021	174,721	82,363	89.178%	$3,812
OREGON PUBLIC EMPLOYEES RETIREMENT FUND	06/30/2021	172,890	172,890	New	$3,772
TOKIO MARINE ASSET MANAGEMENT CO LTD	03/31/2021	163,300	163,300	New	$3,563
WEALTHSPIRE ADVISORS, LLC	03/31/2021	161,680	161,680	New	$3,528
PERIGON WEALTH MANAGEMENT, LLC	06/30/2021	158,765	-26,938	-14.506%	$3,464
NISA INVESTMENT ADVISORS, LLC	06/30/2021	158,400	158,400	New	$3,456
FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.	03/31/2021	156,510	26,343	20.238%	$3,415
CIBC PRIVATE WEALTH GROUP, LLC	03/31/2021	152,646	53,109	53.356%	$3,331
ZURCHER KANTONALBANK (ZURICH CANTONALBANK)	06/30/2021	152,645	101,343	197.542%	$3,331
PRICE T ROWE ASSOCIATES INC /MD/	03/31/2021	152,100	42,889	39.272%	$3,319
ARIZONA STATE RETIREMENT SYSTEM	06/30/2021	147,261	147,261	New	$3,213
BAYESIAN CAPITAL MANAGEMENT, LP	03/31/2021	147,050	147,050	New	$3,209
KESTRA PRIVATE WEALTH SERVICES, LLC	06/30/2021	141,240	-7,154	-4.821%	$3,082
VONTOBEL HOLDING LTD.	06/30/2021	137,159	-39,251	-22.25%	$2,993
CHICAGO CAPITAL, LLC	06/30/2021	136,799	0	0%	$2,985
US BANCORP \DE\	06/30/2021	131,821	114,274	651.245%	$2,876
PATHSTONE FAMILY OFFICE, LLC	03/31/2021	129,410	115,129	806.169%	$2,824
MARYLAND STATE RETIREMENT & PENSION SYSTEM	06/30/2021	122,470	122,470	New	$2,672
CLEAR CREEK FINANCIAL MANAGEMENT, LLC	06/30/2021	120,631	120,631	New	$2,632
PNC FINANCIAL SERVICES GROUP, INC.	06/30/2021	116,251	15,285	15.139%	$2,537
NATIONAL ASSET MANAGEMENT, INC.	03/31/2021	114,235	48,193	72.973%	$2,493
MITSUBISHI UFJ KOKUSAI ASSET MANAGEMENT CO., LTD.	06/30/2021	112,906	112,906	New	$2,464
MML INVESTORS SERVICES, LLC	03/31/2021	111,475	95,629	603.49%	$2,432
BAIRD FINANCIAL GROUP, INC.	03/31/2021	111,388	111,388	New	$2,430
STEIGERWALD, GORDON & KOCH INC.	06/30/2021	111,250	27,250	32.44%	$2,427
EMPIRICAL CAPITAL MANAGEMENT, LLC	03/31/2021	111,002	1,000	0.909%	$2,422
BANK OF MONTREAL /CAN/	03/31/2021	106,325	-8,125	-7.099%	$2,320
STRATOS WEALTH PARTNERS, LTD.	06/30/2021	104,455	20,411	24.286%	$2,279
STRATEGIC WEALTH ADVISORS GROUP, LLC	03/31/2021	102,543	-78,179	-43.259%	$2,237
QUILTER PLC	03/31/2021	102,197	89,378	697.231%	$2,230
CAPULA MANAGEMENT LTD	03/31/2021	101,875	101,875	New	$2,223
FINANCIAL ARCHITECTS, INC	03/31/2021	100,008	100,008	New	$2,182
GRAHAM CAPITAL MANAGEMENT, L.P.	03/31/2021	100,000	100,000	New	$2,182
BROOKSIDE EQUITY PARTNERS LLC	03/31/2021	99,414	99,414	New	$2,169
IHT WEALTH MANAGEMENT, LLC	03/31/2021	97,579	71,735	277.569%	$2,129
NOMURA ASSET MANAGEMENT CO LTD	06/30/2021	96,800	96,800	New	$2,112
STEWARD PARTNERS INVESTMENT ADVISORY, LLC	03/31/2021	95,571	66,028	223.498%	$2,085
BOUVEL INVESTMENT PARTNERS, LLC	06/30/2021	95,275	95,275	New	$2,079
BRISTLECONE ADVISORS, LLC	06/30/2021	94,728	83,956	779.391%	$2,067
WEDBUSH SECURITIES INC	06/30/2021	94,591	19,069	25.25%	$2,064
ROCKEFELLER CAPITAL MANAGEMENT L.P.	03/31/2021	92,005	20,219	28.166%	$2,008
UBS OCONNOR LLC	03/31/2021	90,600	90,600	New	$1,977
ENVESTNET ASSET MANAGEMENT INC	06/30/2021	85,863	4,634	5.705%	$1,874
